# Znak Russian dictionary.
# Source: hingston/russian 50000-russian-words-cyrillic-only.txt
# Derived from University of Leeds Corpus, CC BY Attribution.
# Format:
#   word frequency
# Lines beginning with # are ignored. Frequency is optional; higher means earlier.
медленно 99038
старик 99037
прочий 99036
победа 99035
элемент 99034
естественно 99033
обратиться 99032
постоянный 99031
встречаться 99030
женский 99029
командир 99028
август 99027
впервые 99026
секунда 99025
счастливый 99024
житель 99023
видимо 99022
праздник 99021
множество 99020
кажется 99019
сумма 99018
сцена 99017
насколько 99016
есть 99015
едва 99014
техника 99013
малый 99012
подготовка 99011
легкий 99010
сожаление 99009
ухо 99008
исторический 99007
занятие 99006
соответствующий 99005
почувствовать 99004
существование 99003
мужик 99002
городской 99001
октябрь 99000
недавно 98999
нос 98998
существо 98997
абсолютно 98996
обладать 98995
рамка 98994
начинаться 98993
генерал 98992
благодаря 98991
значить 98990
многое 98989
попробовать 98988
французский 98987
правильно 98986
сентябрь 98985
известно 98984
левый 98983
университет 98982
считаться 98981
частный 98980
глубокий 98979
многие 98978
клуб 98977
принадлежать 98976
подняться 98975
лето 98974
заставить 98973
выражение 98972
платить 98971
спокойно 98970
приводить 98969
одежда 98968
ради 98967
автомобиль 98966
продажа 98965
закрыть 98964
святой 98963
финансовый 98962
декабрь 98961
театр 98960
ссср 98959
произведение 98958
построить 98957
деревня 98956
направить 98955
составить 98954
рф 98953
фонд 98952
сестра 98951
отличаться 98950
нести 98949
кричать 98948
встретить 98947
наблюдать 98946
запад 98945
франция 98944
отказаться 98943
обстоятельство 98942
михаил 98941
золотой 98940
июнь 98939
обращаться 98938
темный 98937
версия 98936
зато 98935
министр 98934
целое 98933
акция 98932
губа 98931
немец 98930
дополнительный 98929
судить 98928
суть 98927
пустой 98926
америка 98925
холодный 98924
февраль 98923
цветок 98922
центральный 98921
профессиональный 98920
завод 98919
федеральный 98918
прием 98917
федерация 98916
технический 98915
особенность 98914
понимание 98913
носить 98912
рождение 98911
ближайший 98910
болезнь 98909
выступать 98908
отправить 98907
площадь 98906
подход 98905
занимать 98904
родной 98903
стремиться 98902
станция 98901
решать 98900
обучение 98899
запись 98898
упасть 98897
поддерживать 98896
настолько 98895
вниз 98894
значительный 98893
напоминать 98892
ответственность 98891
народный 98890
европейский 98889
поэт 98888
соответствие 98887
офицер 98886
июль 98885
передать 98884
выборы 98883
король 98882
утверждать 98881
позвонить 98880
реклама 98879
николай 98878
революция 98877
явление 98876
отдел 98875
вскоре 98874
фронт 98873
художник 98872
информационный 98871
животное 98870
пользователь 98869
этап 98868
ладно 98867
стиль 98866
зеленый 98865
двигаться 98864
норма 98863
сто 98862
чего 98861
попытаться 98860
передача 98859
ценность 98858
изменить 98857
фраза 98856
определение 98855
работник 98854
петь 98853
мимо 98852
дата 98851
будущий 98850
находить 98849
семь 98848
капитан 98847
доход 98846
фотография 98845
разработка 98844
волна 98843
собрать 98842
усилие 98841
ясный 98840
профессор 98839
рассматривать 98838
ноябрь 98837
понравиться 98836
чай 98835
указать 98834
участвовать 98833
алексей 98832
перевод 98831
фактор 98830
тихо 98829
канал 98828
полезный 98827
сравнение 98826
северный 98825
взрослый 98824
родиться 98823
кабинет 98822
вспоминать 98821
форум 98820
лично 98819
духовный 98818
слабый 98817
подробно 98816
наоборот 98815
гражданский 98814
итак 98813
журналист 98812
проведение 98811
выполнять 98810
нынешний 98809
лист 98808
снег 98807
использоваться 98806
обеспечение 98805
комиссия 98804
закончить 98803
поверить 98802
слава 98801
черт 98800
обратить 98799
древний 98798
явно 98797
бить 98796
зуб 98795
традиция 98794
невозможный 98793
перестать 98792
высота 98791
иностранный 98790
естественный 98789
председатель 98788
интересно 98787
массовый 98786
звонить 98785
сосед 98784
ясно 98783
молчать 98782
украина 98781
выпить 98780
дальнейший 98779
прочитать 98778
остров 98777
приятный 98776
наличие 98775
понятный 98774
отправиться 98773
сад 98772
падать 98771
кухня 98770
мастер 98769
карман 98768
детство 98767
хватить 98766
сомнение 98765
сотня 98764
десяток 98763
покупать 98762
участок 98761
обещать 98760
прошлое 98759
согласно 98758
строительство 98757
разумеется 98756
пиво 98755
исчезнуть 98754
тонкий 98753
простить 98752
устройство 98751
смеяться 98750
богатый 98749
яркий 98748
соответствовать 98747
слеза 98746
согласный 98745
библиотека 98744
общение 98743
частность 98742
выполнить 98741
верный 98740
отличие 98739
собраться 98738
поезд 98737
официальный 98736
мелкий 98735
продукция 98734
применение 98733
царь 98732
состояться 98731
поток 98730
польза 98729
обратно 98728
мешать 98727
перейти 98726
настроение 98725
постепенно 98724
двое 98723
редакция 98722
нечто 98721
толпа 98720
здоровый 98719
планета 98718
поколение 98717
реакция 98716
умный 98715
вероятно 98714
механизм 98713
собственно 98712
птица 98711
относительно 98710
сквозь 98709
